################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1     195    1.00000000E+00  5.47650913E-01 -8.36606004E-01 -1.29950322E-02
      -1       1     196    1.00000000E+00  1.72656213E-01 -2.54760012E-01 -9.51465800E-01
      -1       1     197    1.00000000E+00  2.97044989E-02 -2.14699488E-01 -9.76228340E-01
      -1       1     198    1.00000000E+00  3.27518881E-01  9.17576657E-01 -2.25354081E-01
      -1       1     199    1.00000000E+00 -7.19120794E-01  6.92554181E-01  5.68681827E-02
      -1       1     200    1.00000000E+00  6.35754420E-01  5.95506995E-01 -4.91108680E-01
      -1       1     201    1.00000000E+00  7.43986382E-01 -4.46622884E-01  4.97003282E-01
      -1       1     202    1.00000000E+00  1.46784882E-02  1.96749306E-01  9.80343946E-01
      -1       1     203    1.00000000E+00  2.35971211E-01  8.78333519E-01  4.15749705E-01
      -1       1     204    1.00000000E+00 -1.13433913E-01  9.62239846E-01  2.47441361E-01
      -1       1     205    1.00000000E+00  2.89061326E-01 -2.00542740E-01 -9.36069527E-01
      -1       1     206    1.00000000E+00  9.78594572E-01 -6.46434551E-02 -1.95381389E-01
      -1       1     207    1.00000000E+00  8.74148493E-01  2.69584927E-01 -4.03965816E-01
      -1       1     208    1.00000000E+00  4.06884124E-01  8.86272762E-01 -2.21282401E-01
      -1       1     209    1.00000000E+00  7.16421317E-01 -1.78314131E-01 -6.74495788E-01
      -1       1     210    1.00000000E+00  7.22154009E-01  3.32323222E-01 -6.06675253E-01
      -1       1     211    1.00000000E+00  9.21775437E-01 -1.14283215E-01  3.70498841E-01
      -1       1     212    1.00000000E+00  1.07947284E-01 -5.05680210E-01  8.55940950E-01
      -1       1     213    1.00000000E+00  8.90941051E-01 -4.50992951E-01 -5.31921247E-02
      -1       1     214    1.00000000E+00  9.09489166E-01 -2.55180968E-01  3.28195264E-01
      -1       1     215    1.00000000E+00 -4.92511312E-03 -7.19286461E-01 -6.94696142E-01
      -1       1     216    1.00000000E+00  7.10556432E-01 -4.11587241E-01 -5.70706142E-01
      -1       1     217    1.00000000E+00 -1.04677431E-01  9.57785417E-01  2.67749378E-01
      -1       1     218    1.00000000E+00  1.24560072E-01  9.23834943E-01 -3.61958266E-01
      -1       1     219    1.00000000E+00  6.04302705E-01  7.96250756E-01  2.83368047E-02
      -1       1     220    1.00000000E+00  6.34998177E-01  3.77161874E-01 -6.74185609E-01
      -1       1     221    1.00000000E+00  7.49133509E-01  2.63674414E-01  6.07679841E-01
      -1       1     222    1.00000000E+00  6.63801825E-01 -5.43172150E-01  5.14131455E-01
      -1       1     223    1.00000000E+00 -6.40852598E-01 -5.01967312E-01 -5.80806995E-01
      -1       1     224    1.00000000E+00  7.03398521E-01  6.41657475E-01 -3.05787843E-01
      -1       1     225    1.00000000E+00  1.56979536E-01  9.47796352E-01  2.77559904E-01
      -1       1     226    1.00000000E+00  3.36581712E-01  7.29682810E-01  5.95210676E-01
      -1       1     227    1.00000000E+00 -1.60351058E-01  6.17205410E-01  7.70288920E-01
      -1       1     228    1.00000000E+00  4.22440140E-01  8.85141788E-01 -1.95111104E-01
      -1       1     229    1.00000000E+00  5.38996558E-01  6.10995691E-01 -5.79799082E-01
      -1       1     230    1.00000000E+00  2.64474762E-01  5.57358786E-01 -7.87022417E-01
      -1       1     231    1.00000000E+00  9.11651556E-01  4.41241294E-02  4.08588426E-01
      -1       1     232    1.00000000E+00  9.16636859E-01 -3.76146822E-01  1.35242144E-01
      -1       1     233    1.00000000E+00  6.26372273E-01 -7.45015357E-01  2.29368465E-01
      -1       1     234    1.00000000E+00  5.37828922E-01 -4.64949125E-01  7.03251280E-01
      -1       1     235    1.00000000E+00  5.11782948E-01 -6.39290680E-01 -5.73921285E-01
      -1       1     236    1.00000000E+00  7.23876310E-01 -5.01920593E-01 -4.73369629E-01
      -1       1     237    1.00000000E+00  8.73975173E-01 -3.04126692E-01  3.79043997E-01
      -1       1     238    1.00000000E+00  5.86858329E-01  7.64013879E-01  2.68104634E-01
      -1       1     239    1.00000000E+00  6.58826552E-01  7.48081329E-01 -7.95103698E-02
      -1       1     240    1.00000000E+00  8.75961853E-01  4.79229387E-01 -5.50456869E-02
      -1       1     241    1.00000000E+00  7.63992726E-01  2.15924652E-01 -6.08022746E-01
      -1       1     242    1.00000000E+00 -5.07117710E-01 -5.43388569E-01 -6.68999620E-01
      -1       1     243    1.00000000E+00  6.96638276E-01 -5.26354989E-02 -7.15489075E-01
      -1       1     244    1.00000000E+00 -3.96875299E-01  8.07529654E-01 -4.36332276E-01
      -1       1     245    1.00000000E+00  6.91965410E-01  6.40749005E-01  3.32602742E-01
      -1       1     246    1.00000000E+00 -1.51921169E-01  2.93632813E-01  9.43768896E-01
