#  Iter.   M_avg.    U_Bind.    Susc.
    9811  0.043074  0.095422 11.087669
    9821  0.043111  0.095598 11.085193
    9831  0.043229  0.095781 11.082975
    9841  0.043321  0.095974 11.080888
    9851  0.043306  0.096165 11.078732
    9861  0.043304  0.096354 11.076503
    9871  0.043332  0.096549 11.074221
    9881  0.043314  0.096740 11.071875
    9891  0.043269  0.096924 11.069509
    9901  0.043184  0.097099 11.067241
    9911  0.043101  0.097266 11.065070
    9921  0.043019  0.097425 11.062985
    9931  0.042951  0.097575 11.060939
    9941  0.042982  0.097730 11.058845
    9951  0.042918  0.097878 11.056774
    9961  0.042835  0.098017 11.054795
    9971  0.042788  0.098151 11.052799
    9981  0.042707  0.098276 11.050885
    9991  0.042629  0.098393 11.049043
    9001  0.020314  0.195218  7.272516
    9011  0.020291  0.195340  7.272884
    9021  0.020270  0.195452  7.273173
    9031  0.020273  0.195567  7.273342
    9041  0.020310  0.195697  7.273531
    9051  0.020350  0.195842  7.273764
    9061  0.020358  0.195991  7.273887
    9071  0.020365  0.196144  7.273901
    9081  0.020380  0.196304  7.273825
    9091  0.020395  0.196470  7.273661
    9101  0.020414  0.196645  7.273425
    9111  0.020403  0.196815  7.273097
    9121  0.020382  0.196977  7.272706
    9131  0.020334  0.197125  7.272443
    9141  0.020297  0.197261  7.272209
    9151  0.020273  0.197387  7.271930
    9161  0.020235  0.197502  7.271690
    9171  0.020213  0.197608  7.271396
    9181  0.020179  0.197704  7.271111
    9191  0.020160  0.197792  7.270762
    9201  0.020131  0.197871  7.270397
    9211  0.020100  0.197940  7.270030
    9221  0.020053  0.197997  7.269773
    9231  0.020012  0.198043  7.269580
    9241  0.019986  0.198080  7.269359
    9251  0.019940  0.198107  7.269237
    9261  0.019926  0.198129  7.269038
    9271  0.019919  0.198150  7.268751
    9281  0.019892  0.198162  7.268441
    9291  0.019865  0.198166  7.268108
    9301  0.019858  0.198169  7.267691
    9311  0.019850  0.198170  7.267194
    9321  0.019883  0.198185  7.266710
    9331  0.019891  0.198204  7.266147
    9341  0.019912  0.198234  7.265542
    9351  0.019959  0.198276  7.265056
    9361  0.020011  0.198329  7.264732
    9371  0.020051  0.198394  7.264465
    9381  0.020070  0.198468  7.264148
    9391  0.020085  0.198548  7.263767
    9401  0.020072  0.198625  7.263318
    9411  0.020066  0.198700  7.262794
    9421  0.020055  0.198771  7.262202
    9431  0.020026  0.198835  7.261607
    9441  0.020040  0.198904  7.260952
    9451  0.020051  0.198979  7.260234
    9461  0.020025  0.199046  7.259498
    9471  0.020022  0.199112  7.258691
    9481  0.020000  0.199172  7.257855
    9491  0.019958  0.199223  7.257098
    9501  0.019920  0.199264  7.256396
    9511  0.019893  0.199299  7.255686
    9521  0.019895  0.199335  7.254905
    9531  0.019864  0.199363  7.254142
    9541  0.019849  0.199387  7.253330
    9551  0.019820  0.199404  7.252519
    9561  0.019797  0.199415  7.251687
    9571  0.019776  0.199420  7.250827
    9581  0.019772  0.199425  7.249902
    9591  0.019801  0.199441  7.248984
    9601  0.019804  0.199459  7.248002
    9611  0.019817  0.199483  7.246971
    9621  0.019802  0.199503  7.245897
    9631  0.019769  0.199516  7.244852
    9641  0.019730  0.199520  7.243876
    9651  0.019701  0.199518  7.242907
    9661  0.019684  0.199511  7.241904
    9671  0.019662  0.199499  7.240880
    9681  0.019641  0.199482  7.239832
    9691  0.019656  0.199471  7.238745
    9701  0.019659  0.199463  7.237601
    9711  0.019644  0.199452  7.236420
    9721  0.019637  0.199439  7.235187
    9731  0.019680  0.199436  7.234053
    9741  0.019726  0.199443  7.233034
    9751  0.019726  0.199451  7.231960
    9761  0.019750  0.199468  7.230877
    9771  0.019729  0.199479  7.229777
    9781  0.019730  0.199493  7.228622
    9791  0.019715  0.199502  7.227434
    9801  0.019700  0.199508  7.226212
    9811  0.019662  0.199507  7.225051
    9821  0.019633  0.199499  7.223907
    9831  0.019628  0.199491  7.222714
    9841  0.019594  0.199477  7.221558
    9851  0.019557  0.199455  7.220460
    9861  0.019521  0.199427  7.219416
    9871  0.019511  0.199397  7.218330
    9881  0.019472  0.199360  7.217312
    9891  0.019459  0.199321  7.216255
    9901  0.019437  0.199277  7.215187
    9911  0.019418  0.199228  7.214097
    9921  0.019407  0.199178  7.212968
    9931  0.019404  0.199129  7.211792
    9941  0.019419  0.199085  7.210585
    9951  0.019390  0.199037  7.209395
    9961  0.019380  0.198986  7.208166
    9971  0.019384  0.198938  7.206893
    9981  0.019395  0.198895  7.205583
    9991  0.019427  0.198862  7.204308
    9001  0.014196 -0.082684 13.853545
    9011  0.014192 -0.082059 13.851789
    9021  0.014173 -0.081454 13.849950
    9031  0.014151 -0.080870 13.848064
    9041  0.014122 -0.080308 13.846244
    9051  0.014125 -0.079749 13.844236
    9061  0.014094 -0.079212 13.842332
    9071  0.014078 -0.078692 13.840322
    9081  0.014073 -0.078181 13.838135
    9091  0.014090 -0.077659 13.835848
    9101  0.014090 -0.077142 13.833387
    9111  0.014101 -0.076618 13.830790
    9121  0.014099 -0.076102 13.828028
    9131  0.014107 -0.075582 13.825122
    9141  0.014117 -0.075058 13.822088
    9151  0.014128 -0.074528 13.818931
    9161  0.014111 -0.074015 13.815709
    9171  0.014078 -0.073522 13.812648
    9181  0.014046 -0.073049 13.809717
    9191  0.014018 -0.072595 13.806872
    9201  0.014024 -0.072139 13.803889
    9211  0.014013 -0.071694 13.800792
    9221  0.014012 -0.071254 13.797549
    9231  0.014014 -0.070816 13.794166
    9241  0.014000 -0.070390 13.790700
    9251  0.013988 -0.069976 13.787136
    9261  0.013971 -0.069577 13.783518
    9271  0.013941 -0.069194 13.780021
    9281  0.013911 -0.068829 13.776640
    9291  0.013883 -0.068481 13.773338
    9301  0.013860 -0.068148 13.770049
    9311  0.013845 -0.067827 13.766694
    9321  0.013826 -0.067520 13.763312
    9331  0.013829 -0.067213 13.759803
    9341  0.013816 -0.066916 13.756215
    9351  0.013823 -0.066615 13.752515
    9361  0.013800 -0.066328 13.748837
    9371  0.013781 -0.066054 13.745135
    9381  0.013768 -0.065790 13.741360
    9391  0.013752 -0.065538 13.737538
    9401  0.013737 -0.065297 13.733663
    9411  0.013727 -0.065063 13.729700
    9421  0.013750 -0.064812 13.725762
    9431  0.013779 -0.064542 13.721942
    9441  0.013802 -0.064256 13.718145
    9451  0.013815 -0.063961 13.714286
    9461  0.013842 -0.063648 13.710509
    9471  0.013861 -0.063323 13.706720
    9481  0.013879 -0.062986 13.702911
    9491  0.013899 -0.062637 13.699096
    9501  0.013933 -0.062270 13.695473
    9511  0.013946 -0.061895 13.691788
    9521  0.013923 -0.061534 13.688135
    9531  0.013901 -0.061186 13.684507
    9541  0.013879 -0.060851 13.680894
    9551  0.013858 -0.060528 13.677287
    9561  0.013856 -0.060209 13.673580
    9571  0.013846 -0.059898 13.669799
    9581  0.013849 -0.059587 13.665922
    9591  0.013833 -0.059286 13.662009
    9601  0.013827 -0.058990 13.658011
    9611  0.013821 -0.058699 13.653928
    9621  0.013811 -0.058416 13.649778
    9631  0.013796 -0.058143 13.645601
    9641  0.013777 -0.057880 13.641419
    9651  0.013748 -0.057630 13.637357
    9661  0.013727 -0.057391 13.633319
    9671  0.013718 -0.057158 13.629212
    9681  0.013690 -0.056937 13.625212
    9691  0.013662 -0.056728 13.621327
    9701  0.013640 -0.056530 13.617468
    9711  0.013633 -0.056337 13.613536
    9721  0.013628 -0.056148 13.609523
    9731  0.013627 -0.055960 13.605427
    9741  0.013625 -0.055773 13.601250
    9751  0.013629 -0.055584 13.596998
    9761  0.013637 -0.055391 13.592681
    9771  0.013635 -0.055198 13.588287
    9781  0.013621 -0.055014 13.583865
    9791  0.013599 -0.054840 13.579481
    9801  0.013577 -0.054676 13.575139
    9811  0.013561 -0.054521 13.570783
    9821  0.013551 -0.054371 13.566376
    9831  0.013526 -0.054232 13.562058
    9841  0.013510 -0.054100 13.557724
    9851  0.013483 -0.053979 13.553489
    9861  0.013464 -0.053866 13.549265
    9871  0.013464 -0.053754 13.544967
    9881  0.013459 -0.053644 13.540606
    9891  0.013460 -0.053534 13.536175
    9901  0.013481 -0.053410 13.531778
    9911  0.013518 -0.053269 13.527638
    9921  0.013565 -0.053119 13.523948
    9931  0.013643 -0.053053 13.521592
    9941  0.013719 -0.053055 13.520491
    9951  0.013781 -0.053071 13.520211
    9961  0.013826 -0.053071 13.520292
    9971  0.013871 -0.053056 13.520732
    9981  0.013898 -0.053024 13.521231
    9991  0.013901 -0.052990 13.521618
