   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   16900  5.09868821E-06 -2.98549854E-07  6.39474991E-01  6.39474991E-01  0.00000000E+00
   17000 -2.84184740E-07  6.75317364E-06  6.39471965E-01  6.39471965E-01  0.00000000E+00
   17100  2.61403031E-06  5.31514118E-08  6.39467246E-01  6.39467246E-01  0.00000000E+00
   17200  4.89080855E-06 -2.59348915E-06  6.39463797E-01  6.39463797E-01  0.00000000E+00
   17300 -4.11985373E-06  1.68680302E-06  6.39463083E-01  6.39463083E-01  0.00000000E+00
   17400  2.52687779E-06  1.66158018E-06  6.39457085E-01  6.39457085E-01  0.00000000E+00
   17500 -2.23877333E-06  1.82711151E-06  6.39454219E-01  6.39454219E-01  0.00000000E+00
   17600  3.30694692E-07  1.63772036E-06  6.39452465E-01  6.39452465E-01  0.00000000E+00
   17700  1.40436014E-06  3.35547397E-06  6.39446942E-01  6.39446942E-01  0.00000000E+00
   17800 -1.55328943E-06  3.35521879E-06  6.39444928E-01  6.39444928E-01  0.00000000E+00
   17900 -2.10973077E-06  1.56618274E-06  6.39442641E-01  6.39442641E-01  0.00000000E+00
   18000 -1.99120942E-06  5.42661433E-06  6.39439265E-01  6.39439265E-01  0.00000000E+00
   18100  5.30830590E-06 -5.32788297E-07  6.39434928E-01  6.39434928E-01  0.00000000E+00
   18200  3.11633313E-06 -2.51046926E-06  6.39438402E-01  6.39438402E-01  0.00000000E+00
   18300 -6.73278708E-07 -9.94064835E-07  6.39433671E-01  6.39433671E-01  0.00000000E+00
   18400  1.23920629E-06  5.14053943E-06  6.39426868E-01  6.39426868E-01  0.00000000E+00
   18500 -2.05513637E-06 -6.57632324E-06  6.39413170E-01  6.39413170E-01  0.00000000E+00
   18600  1.20199576E-06 -4.52798455E-06  6.39406918E-01  6.39406918E-01  0.00000000E+00
   18700 -8.38808642E-07  8.20210503E-06  6.39401727E-01  6.39401727E-01  0.00000000E+00
   18800 -4.30522117E-07 -4.85691075E-06  6.39400692E-01  6.39400692E-01  0.00000000E+00
   18900  1.38827491E-06 -5.22494970E-06  6.39404801E-01  6.39404801E-01  0.00000000E+00
   19000  1.19392185E-06  6.12061011E-06  6.39412703E-01  6.39412703E-01  0.00000000E+00
   19100  2.31921599E-06 -3.64050979E-07  6.39405604E-01  6.39405604E-01  0.00000000E+00
   19200  1.47497223E-06 -2.59734124E-06  6.39406110E-01  6.39406110E-01  0.00000000E+00
   19300 -3.09126198E-06 -5.92150326E-07  6.39405640E-01  6.39405640E-01  0.00000000E+00
   19400 -3.82741220E-06 -4.94176428E-06  6.39401276E-01  6.39401276E-01  0.00000000E+00
   19500 -1.64840118E-07  1.57108205E-06  6.39405663E-01  6.39405663E-01  0.00000000E+00
   19600 -5.18982443E-06 -2.05668571E-07  6.39393993E-01  6.39393993E-01  0.00000000E+00
   19700  4.39472213E-06  5.19037568E-06  6.39385319E-01  6.39385320E-01  0.00000000E+00
   19800 -2.31891227E-06 -1.26705589E-06  6.39388808E-01  6.39388808E-01  0.00000000E+00
   19900 -3.07076631E-06 -1.98936875E-06  6.39383481E-01  6.39383481E-01  0.00000000E+00
