#  Iter.   M_avg.    U_Bind.    Susc.
    9921  0.817017  0.666339  0.012767
    9931  0.817063  0.666339  0.012765
    9941  0.817121  0.666339  0.012764
    9951  0.817166  0.666339  0.012763
    9961  0.817175  0.666339  0.012762
    9971  0.817168  0.666339  0.012761
    9981  0.817143  0.666339  0.012760
    9991  0.817116  0.666339  0.012759
    9001  0.873928  0.666495  0.011439
    9011  0.873965  0.666495  0.011438
    9021  0.873986  0.666495  0.011437
    9031  0.874001  0.666495  0.011436
    9041  0.874020  0.666495  0.011434
    9051  0.874040  0.666495  0.011433
    9061  0.874056  0.666495  0.011431
    9071  0.874092  0.666495  0.011430
    9081  0.874103  0.666495  0.011428
    9091  0.874114  0.666495  0.011427
    9101  0.874121  0.666495  0.011425
    9111  0.874116  0.666495  0.011423
    9121  0.874111  0.666495  0.011421
    9131  0.874083  0.666495  0.011420
    9141  0.874060  0.666495  0.011418
    9151  0.874042  0.666495  0.011416
    9161  0.874024  0.666495  0.011414
    9171  0.874018  0.666495  0.011412
    9181  0.874005  0.666495  0.011410
    9191  0.874026  0.666495  0.011408
    9201  0.874051  0.666495  0.011406
    9211  0.874065  0.666495  0.011403
    9221  0.874065  0.666495  0.011401
    9231  0.874066  0.666496  0.011399
    9241  0.874042  0.666496  0.011396
    9251  0.874039  0.666496  0.011394
    9261  0.874027  0.666496  0.011391
    9271  0.873998  0.666496  0.011389
    9281  0.873968  0.666496  0.011386
    9291  0.873942  0.666496  0.011384
    9301  0.873927  0.666496  0.011382
    9311  0.873923  0.666496  0.011380
    9321  0.873923  0.666496  0.011377
    9331  0.873907  0.666496  0.011374
    9341  0.873881  0.666496  0.011372
    9351  0.873862  0.666496  0.011369
    9361  0.873851  0.666496  0.011367
    9371  0.873837  0.666496  0.011364
    9381  0.873820  0.666496  0.011362
    9391  0.873792  0.666496  0.011359
    9401  0.873775  0.666496  0.011357
    9411  0.873772  0.666496  0.011354
    9421  0.873767  0.666496  0.011351
    9431  0.873744  0.666496  0.011348
    9441  0.873715  0.666496  0.011346
    9451  0.873693  0.666496  0.011343
    9461  0.873691  0.666496  0.011341
    9471  0.873682  0.666496  0.011338
    9481  0.873670  0.666496  0.011335
    9491  0.873662  0.666497  0.011332
    9501  0.873646  0.666497  0.011329
    9511  0.873624  0.666497  0.011327
    9521  0.873570  0.666497  0.011324
    9531  0.873535  0.666497  0.011322
    9541  0.873501  0.666497  0.011321
    9551  0.873472  0.666497  0.011319
    9561  0.873477  0.666497  0.011317
    9571  0.873471  0.666497  0.011315
    9581  0.873481  0.666497  0.011314
    9591  0.873490  0.666497  0.011312
    9601  0.873507  0.666497  0.011310
    9611  0.873530  0.666497  0.011308
    9621  0.873545  0.666497  0.011306
    9631  0.873546  0.666497  0.011304
    9641  0.873566  0.666497  0.011302
    9651  0.873584  0.666497  0.011300
    9661  0.873613  0.666497  0.011298
    9671  0.873646  0.666497  0.011296
    9681  0.873677  0.666497  0.011294
    9691  0.873696  0.666497  0.011293
    9701  0.873717  0.666497  0.011291
    9711  0.873733  0.666497  0.011289
    9721  0.873743  0.666497  0.011288
    9731  0.873732  0.666497  0.011286
    9741  0.873723  0.666497  0.011284
    9751  0.873734  0.666497  0.011282
    9761  0.873720  0.666497  0.011280
    9771  0.873701  0.666497  0.011279
    9781  0.873721  0.666497  0.011277
    9791  0.873735  0.666497  0.011275
    9801  0.873739  0.666497  0.011273
    9811  0.873753  0.666497  0.011271
    9821  0.873771  0.666497  0.011269
    9831  0.873794  0.666497  0.011267
    9841  0.873815  0.666498  0.011265
    9851  0.873824  0.666498  0.011263
    9861  0.873842  0.666498  0.011261
    9871  0.873863  0.666498  0.011259
    9881  0.873886  0.666498  0.011257
    9891  0.873901  0.666498  0.011255
    9901  0.873926  0.666498  0.011253
    9911  0.873961  0.666498  0.011251
    9921  0.874005  0.666498  0.011250
    9931  0.874035  0.666498  0.011249
    9941  0.874085  0.666498  0.011248
    9951  0.874125  0.666498  0.011248
    9961  0.874153  0.666498  0.011248
    9971  0.874164  0.666498  0.011247
    9981  0.874175  0.666498  0.011247
    9991  0.874169  0.666498  0.011246
    9001  0.934328  0.666625  0.006353
    9011  0.934306  0.666625  0.006356
    9021  0.934289  0.666625  0.006358
    9031  0.934280  0.666625  0.006361
    9041  0.934260  0.666625  0.006364
    9051  0.934250  0.666625  0.006367
    9061  0.934233  0.666625  0.006370
    9071  0.934196  0.666625  0.006373
    9081  0.934160  0.666625  0.006377
    9091  0.934126  0.666625  0.006382
    9101  0.934099  0.666625  0.006387
    9111  0.934077  0.666625  0.006392
    9121  0.934054  0.666625  0.006397
    9131  0.934027  0.666625  0.006402
    9141  0.934004  0.666625  0.006408
    9151  0.933983  0.666625  0.006414
    9161  0.933948  0.666625  0.006420
    9171  0.933926  0.666624  0.006426
    9181  0.933904  0.666624  0.006432
    9191  0.933898  0.666624  0.006438
    9201  0.933893  0.666624  0.006444
    9211  0.933882  0.666624  0.006450
    9221  0.933872  0.666624  0.006456
    9231  0.933868  0.666624  0.006462
    9241  0.933842  0.666624  0.006468
    9251  0.933818  0.666624  0.006474
    9261  0.933794  0.666624  0.006480
    9271  0.933769  0.666624  0.006486
    9281  0.933730  0.666624  0.006493
    9291  0.933707  0.666624  0.006500
    9301  0.933696  0.666624  0.006508
